,st_cty_code,county,state,cases
535,13283,Treutlen County,GA,0
536,13285,Troup County,GA,0
537,13287,Turner County,GA,0
538,13289,Twiggs County,GA,0
539,13291,Union County,GA,0
540,13293,Upson County,GA,0
541,13295,Walker County,GA,1
542,13297,Walton County,GA,0
543,13299,Ware County,GA,0
544,13301,Warren County,GA,0
545,13303,Washington County,GA,0
546,13305,Wayne County,GA,0
547,13307,Webster County,GA,0
548,13309,Wheeler County,GA,0
549,13311,White County,GA,0
550,13313,Whitfield County,GA,0
551,13315,Wilcox County,GA,0
552,13317,Wilkes County,GA,0
553,13319,Wilkinson County,GA,0
554,13321,Worth County,GA,0
555,13999,Georgia,GA,0
556,1501,Hawaii County,HI,0
557,1503,Honolulu County,HI,0
558,1505,Kalawao County,HI,0
559,1507,Kauai County,HI,0
560,1509,Maui County,HI,0
561,15999,Hawaii,HI,0
562,1601,Ada County,ID,0
563,1603,Adams County,ID,0
564,1605,Bannock County,ID,0
565,1607,Bear Lake County,ID,0
566,1609,Benewah County,ID,0
567,1611,Bingham County,ID,0
568,1613,Blaine County,ID,2
569,1615,Boise County,ID,0
570,1617,Bonner County,ID,1
571,1619,Bonneville County,ID,0
572,1621,Boundary County,ID,0
573,1623,Butte County,ID,0
574,1625,Camas County,ID,0
575,1627,Canyon County,ID,4
576,1629,Caribou County,ID,0
577,1631,Cassia County,ID,0
578,1633,Clark County,ID,0
579,1635,Clearwater County,ID,0
580,1637,Custer County,ID,0
581,1639,Elmore County,ID,0
582,1641,Franklin County,ID,0
583,1643,Fremont County,ID,0
584,1645,Gem County,ID,0
585,1647,Gooding County,ID,0
586,1649,Idaho County,ID,0
587,1651,Jefferson County,ID,0
588,1653,Jerome County,ID,0
589,1655,Kootenai County,ID,0
590,1657,Latah County,ID,0
591,1659,Lemhi County,ID,0
592,1661,Lewis County,ID,0
593,1663,Lincoln County,ID,0
594,1665,Madison County,ID,1
595,1667,Minidoka County,ID,0
596,1669,Nez Perce County,ID,0
597,1671,Oneida County,ID,0
598,1673,Owyhee County,ID,0
599,1675,Payette County,ID,0
600,1677,Power County,ID,0
601,1679,Shoshone County,ID,0
602,1681,Teton County,ID,1
603,1683,Twin Falls County,ID,0
604,1685,Valley County,ID,0
605,1687,Washington County,ID,0
606,16999,Idaho,ID,0
607,1701,Adams County,IL,2
608,1703,Alexander County,IL,0
609,1705,Bond County,IL,0
610,1707,Boone County,IL,1
611,1709,Brown County,IL,0
612,1711,Bureau County,IL,0
613,1713,Calhoun County,IL,0
614,1715,Carroll County,IL,3
615,1717,Cass County,IL,0
616,1719,Champaign County,IL,2
617,1721,Christian County,IL,0
618,1723,Clark County,IL,1
619,1725,Clay County,IL,0
620,1727,Clinton County,IL,0
621,1729,Coles County,IL,4
622,1731,Cook County,IL,57
623,1733,Crawford County,IL,0
624,1735,Cumberland County,IL,0
625,1737,DeKalb County,IL,2
626,1739,De Witt County,IL,1
627,1741,Douglas County,IL,0
628,1743,DuPage County,IL,27
629,1745,Edgar County,IL,1
630,1747,Edwards County,IL,0
631,1749,Effingham County,IL,0
632,1751,Fayette County,IL,0
633,1753,Ford County,IL,0
634,1755,Franklin County,IL,0
635,1757,Fulton County,IL,2
636,1759,Gallatin County,IL,0
637,1761,Greene County,IL,0
638,1763,Grundy County,IL,0
